Episode,Score
755,-76.24789645315835
756,-76.24789645315835
757,-66.69616014506758
758,-75.05910127455493
759,-72.69985755046011
760,-75.79048362462134
761,-75.79048362462134
762,-75.79048362462134
763,-75.79048362462134
764,-75.59039785562211
765,-75.05910127455493
766,-56.57097547515271
767,-57.94542845891898
768,-49.22222228802599
769,-49.6195379117426
770,-57.94542845891898
771,-57.94542845891898
772,-48.48827250265033
773,-49.6195379117426
774,-57.94542845891898
775,-80.6186208053837
776,-29.62164153798065
777,-50.12289129469035
778,-50.12289129469035
779,-54.77813711018251
780,-51.97536497303162
781,-60.00777779815937
782,-36.1313702429468
783,-29.188965403143243
784,-50.817357139847886
785,-50.12289129469035
786,-59.74904906492768
787,-60.16573147053228
788,-59.60918129186049
789,-59.773999786880566
790,-54.77813711018251
791,-54.77813711018251
792,-40.537000421272424
793,-33.33072904320403
794,-37.76120083631325
795,-38.00927854063154
796,-57.690733904827056
797,-35.73492033552132
798,-36.26367113157767
799,-35.73492033552132
